Sample_number,Waterbody_name,Beach_name,Beach_access_num,Latitude,Longitude,Collection_date,Collection_time,MC-LR_conc,Total_cyano_cell_count,Microcystis_mcyE,Anabaena_mcyE,Planktothrix_mcyE,Sample_type,Water_description_additional,Turbidity,Color,Water_temp,Wind_direction,Rainfall_24h_bool,Rainfall_24h_mm,EOB,Year,Month,Day
M151458,Isle Lake,Kokomoko Day Use Area,9602376.0,53.598707,-114.760845,2015-08-24,,9.37,88322.0,237250.0,0.0,0.0,Composite,,Slight,Colourless,,E,False,0,Particles in water,2015,8,24
M151461,Isle Lake,Kokomoko Day Use Area,9602376.0,53.598707,-114.760845,2015-08-31,09:20:00.001000,5.47,98124.0,148500.0,0.0,0.0,Composite,,Slight,Brown,,E,False,0,Particles in water,2015,8,31
M151521,Jackfish Lake (Parkland County),Public Beach Area,9610366.0,53.484905,-114.229306,2015-06-22,13:09:59.999000,0.73,29970.0,,,,Composite,,Clear,Colourless,,NE,True,,Not apparent,2015,6,22
M151529,Jackfish Lake (Parkland County),Public Beach Area,9610366.0,53.484905,-114.229306,2015-06-29,12:04:59.998000,0.56,96012.0,21500.0,0.0,0.0,Composite,Many people in & out with boats,Slight,Colourless,22.0,SE,True,5 to 10,Not apparent,2015,6,29
M151512,Jackfish Lake (Parkland County),Public Beach Area,9610366.0,53.484905,-114.229306,2015-07-27,14:24:59.996000,10.19,26591.0,,,,Composite,Boats coming in & out causing turbidity,Slight,Colourless,19.0,SE,False,0,Not apparent,2015,7,27
M151565,Jackfish Lake (Parkland County),Public Beach Area,9610366.0,53.484905,-114.229306,2015-08-24,,,49963.0,147750.0,0.0,0.0,,,,,,,,,,2015,8,24
M151536,Jackfish Lake (Parkland County),Public Beach Area,9610366.0,53.484905,-114.229306,2015-08-31,09:15:00.003000,3.94,151262.0,91000.0,0.0,0.0,Composite,Dead fish on shore; very green,Slight,Green,20.0,E,False,0,Scums on surface,2015,8,31
M151584,Jackfish Lake (Athabasca),Jackfish Lake Campground Beach,9050351.0,54.799326,-113.103419,2015-06-10,14:50:00.004000,0.28,206264.0,58.25,0.0,0.0,Composite,,Clear,Colourless,24.9,SE,True,,Not apparent,2015,6,10
M151587,Jackfish Lake (Athabasca),Jackfish Lake Campground Beach,9050351.0,54.799326,-113.103419,2015-06-17,14:55:00.002000,0.4,38961.0,1435.0,163.0,0.0,Composite,,Moderate,Brown,20.2,S,,,Not apparent,2015,6,17
M151592,Jackfish Lake (Athabasca),Jackfish Lake Campground Beach,9050351.0,54.799326,-113.103419,2015-06-23,14:44:59.997000,<0.10,13026.0,0.0,0.0,0.0,Composite,,Moderate,Brown,23.1,N,False,0,Not apparent,2015,6,23
M151597,Jackfish Lake (Athabasca),Jackfish Lake Campground Beach,9050351.0,54.799326,-113.103419,2015-06-30,13:45:00.003000,0.19,145537.0,1477.5,0.0,0.0,Composite,,Slight,Brown,24.9,N,False,0,Not apparent,2015,6,30
M151602,Jackfish Lake (Athabasca),Jackfish Lake Campground Beach,9050351.0,54.799326,-113.103419,2015-07-07,13:50:00.001000,0.19,412834.0,6225.0,89.0,0.0,Composite,,Moderate,Brown,24.1,NW,False,0,Particles in water,2015,7,7
M151606,Jackfish Lake (Athabasca),Jackfish Lake Campground Beach,9050351.0,54.799326,-113.103419,2015-07-14,,0.2,99665.0,2650.0,105.75000000000001,0.0,Composite,,Moderate,Brown,26.1,SW,False,0,Not apparent,2015,7,14
M151609,Jackfish Lake (Athabasca),Jackfish Lake Campground Beach,9050351.0,54.799326,-113.103419,2015-07-21,16:20:00.004000,0.36,113498.0,1072.5,193.5,0.0,Composite,Winds are calm,Moderate,Brown,24.2,No wind,False,0,Particles in water,2015,7,21
M151612,Jackfish Lake (Athabasca),Jackfish Lake Campground Beach,9050351.0,54.799326,-113.103419,2015-07-28,13:20:00.004000,0.39,555619.0,92.25,0.0,0.0,Composite,Water colour - yellowish green,Moderate,Other,25.0,SW,False,0,Particles in water,2015,7,28
M151618,Jackfish Lake (Athabasca),Jackfish Lake Campground Beach,9050351.0,54.799326,-113.103419,2015-08-04,13:45:00.003000,0.99,123658.0,507.5,70.0,0.0,Composite,Winds fairly calm; very light rain during sampling,Moderate,Green,21.9,W,True,~5,Particles in water,2015,8,4
M151621,Jackfish Lake (Athabasca),Jackfish Lake Campground Beach,9050351.0,54.799326,-113.103419,2015-08-11,13:54:59.999000,<0.10,184842.0,216.75,1090.0,0.0,Composite,,Moderate,Green,25.5,NW,False,0,Particles in water,2015,8,11
M151626,Jackfish Lake (Athabasca),Jackfish Lake Campground Beach,9050351.0,54.799326,-113.103419,2015-08-18,14:35:00.001000,0.59,360581.0,470.0,620.0,0.0,Composite,,Moderate,Brown,21.6,W,False,0,Particles in water,2015,8,18
M151629,Jackfish Lake (Athabasca),Jackfish Lake Campground Beach,9050351.0,54.799326,-113.103419,2015-08-25,15:29:59.997000,0.49,153384.0,1775.0,407.5,0.0,Composite,,Moderate,Green,21.4,NE,False,0,Particles in water,2015,8,25
M151720,Jackfish Lake (Athabasca),Jackfish Lake Campground Beach,9050351.0,54.799326,-113.103419,2015-09-01,10:45:00.003000,<0.10,299376.0,3500.0,1015.0,0.0,Composite,,Moderate,Green,18.6,W,False,0,Particles in water,2015,9,1
M151719,Jackfish Lake (Athabasca),Jackfish Lake Campground Beach,9050351.0,54.799326,-113.103419,2015-09-09,12:35:00.004000,0.52,73941.0,0.0,0.0,0.0,Composite,,Slight,Brown,15.7,SE,True,,Particles in water,2015,9,9
M151715,Jackfish Lake (Athabasca),Jackfish Lake Campground Beach,9050351.0,54.799326,-113.103419,2015-09-15,12:04:59.998000,0.32,80235.0,0.0,0.0,0.0,Composite,,Slight,Brown,14.1,SE,False,0,Not apparent,2015,9,15
M151713,Jackfish Lake (Athabasca),Jackfish Lake Campground Beach,9050351.0,54.799326,-113.103419,2015-09-29,15:00:00,0.41,45470.0,0.0,0.0,0.0,Composite,,Slight,Brown,11.7,SE,True,,Particles in water,2015,9,29
M151603,Lac Cardinal (Bear Lake),Queen Elizabeth Park Beach,9280133.0,56.219364,-117.699936,2015-07-13,11:15:00,0.24,0.0,,,,Grab,,Moderate,Green,23.3,SE,True,0.1,Particles in water,2015,7,13
M151598,Lac La Biche,McArthur Beach,9411695.0,54.775067,-111.972138,2015-06-24,13:34:59.998000,0.1,422205.0,0.0,0.0,0.0,Composite,13 km/hr wind,Moderate,Green,22.9,SW,False,0,Particles in water,2015,6,24
M151638,Lac La Nonne,Camp Encounter,9380005.0,53.921145,-114.281768,2015-06-09,10:00:00.003000,0.1,0.0,72.5,0.0,0.0,Composite,,Clear,Colourless,20.0,W,False,0,Not apparent,2015,6,9
M151632,Lac La Nonne,Camp Encounter,9380005.0,53.921145,-114.281768,2015-06-23,09:45:00,0.25,713.0,627.5,0.0,0.0,Composite,,Clear,Colourless,15.5,NE,True,3,Not apparent,2015,6,23
M151645,Lac La Nonne,Camp Encounter,9380005.0,53.921145,-114.281768,2015-07-14,09:04:59.998000,<0.10,198206.0,0.0,0.0,0.0,Composite,,Slight,Green,11.2,NW,False,0,Particles in water,2015,7,14
M151654,Lac La Nonne,Camp Encounter,9380005.0,53.921145,-114.281768,2015-07-28,10:00:00.003000,11.21,348995.0,205500.0,0.0,0.0,Composite,,Slight,Green,13.0,NW,False,0,Streaks on surface,2015,7,28
M151659,Lac La Nonne,Camp Encounter,9380005.0,53.921145,-114.281768,2015-08-11,13:30:00,3.76,333982.0,49500.0,0.0,0.0,Composite,Overt signs of blue-green algae; blue algae all along the beach,Clear,Green,18.0,NW,False,0,Scums on surface,2015,8,11
M151668,Lac La Nonne,Camp Encounter,9380005.0,53.921145,-114.281768,2015-08-25,09:00:00,18.21,10882.0,199250.0,175.5,0.0,Composite,,Slight,Green,9.0,N,False,0,Scums on surface,2015,8,25
M151676,Lac La Nonne,Camp Encounter,9380005.0,53.921145,-114.281768,2015-09-17,,98.24,1110405.0,2550000.0,450.0,0.0,Composite,,Clear,Green,13.0,E,True,~3,Streaks on surface,2015,9,17
M151696,Lac Ste. Anne,Cantin Park,,53.668944,-114.375444,2015-07-15,15:00:00,12.47,1028271.0,130500.0,0.0,0.0,Grab,,Slight,Brown,26.0,N,False,0,Scums on surface,2015,7,15
M151613,Long Lake,Long Lake Provincial Park Main Beach,9401013.0,54.436185,-112.762474,2015-08-12,11:30:00.003000,0.21,456932.0,87750.0,0.0,0.0,Composite,,Moderate,Green,,No wind,False,0,Scums on surface,2015,8,12
M151163,Lake McGregor,Lake McGregor Country Estates Beach,8823909.0,50.342019,-112.837231,2015-06-10,10:45:00.003000,<0.10,11204.0,0.0,0.0,0.0,Composite,,Clear,Colourless,19.2,SE,False,0,Not apparent,2015,6,10
M151135,Lake McGregor,Lake McGregor Country Estates Beach,8823909.0,50.342019,-112.837231,2015-06-17,08:24:59.996000,0.1,25465.0,0.0,0.0,0.0,Composite,,Clear,Colourless,17.0,NW,False,0,Not apparent,2015,6,17
M151139,Lake McGregor,Lake McGregor Country Estates Beach,8823909.0,50.342019,-112.837231,2015-06-24,08:19:59.998000,<0.10,0.0,0.0,0.0,0.0,Composite,,Clear,Colourless,18.0,SW,False,0,Not apparent,2015,6,24
M151145,Lake McGregor,Lake McGregor Country Estates Beach,8823909.0,50.342019,-112.837231,2015-06-29,10:30:00,<0.10,34953.0,0.0,0.0,0.0,Composite,,Clear,Colourless,21.7,No wind,False,0,Not apparent,2015,6,29
M151147,Lake McGregor,Lake McGregor Country Estates Beach,8823909.0,50.342019,-112.837231,2015-07-08,07:39:59.996000,<0.10,407436.0,0.0,0.0,0.0,Composite,,Clear,Colourless,21.1,SE,False,0,Not apparent,2015,7,8
M151151,Lake McGregor,Lake McGregor Country Estates Beach,8823909.0,50.342019,-112.837231,2015-07-15,07:59:59.997000,<0.10,0.0,0.0,0.0,0.0,Composite,,Clear,Colourless,22.1,SE,False,0,Not apparent,2015,7,15
M151155,Lake McGregor,Lake McGregor Country Estates Beach,8823909.0,50.342019,-112.837231,2015-07-22,08:10:00.002000,<0.10,105706.0,0.0,0.0,0.0,Composite,,Clear,Colourless,20.9,No wind,False,0,Not apparent,2015,7,22
M151169,Lake McGregor,Lake McGregor Country Estates Beach,8823909.0,50.342019,-112.837231,2015-07-29,08:10:00.002000,0.1,379316.0,62.0,0.0,0.0,Composite,,Clear,Colourless,19.1,E,False,0,Not apparent,2015,7,29
M151173,Lake McGregor,Lake McGregor Country Estates Beach,8823909.0,50.342019,-112.837231,2015-08-05,08:50:00.004000,0.13,1833460.0,0.0,0.0,0.0,Composite,,Clear,Colourless,20.6,No wind,False,0,Not apparent,2015,8,5
M151177,Lake McGregor,Lake McGregor Country Estates Beach,8823909.0,50.342019,-112.837231,2015-08-12,08:15:00,0.11,223935.0,0.0,0.0,0.0,Composite,,Clear,Colourless,21.0,S,False,0,Not apparent,2015,8,12
M151181,Lake McGregor,Lake McGregor Country Estates Beach,8823909.0,50.342019,-112.837231,2015-08-19,08:30:00.003000,0.19,193743.0,178.25,0.0,0.0,Composite,,Clear,Colourless,19.1,No wind,False,0,Not apparent,2015,8,19
M151185,Lake McGregor,Lake McGregor Country Estates Beach,8823909.0,50.342019,-112.837231,2015-08-26,08:24:59.996000,0.19,106.0,0.0,0.0,0.0,Composite,,Clear,Colourless,18.1,NW,False,0,Not apparent,2015,8,26
M151520,Mink Lake,Mink Lake Campground,9601225.0,53.51465,-114.225011,2015-06-22,10:30:00,0.28,13348.0,,,,Composite,,Clear,Colourless,19.8,,True,,Particles in water,2015,6,22
M151511,Mink Lake,Mink Lake Campground,9601225.0,53.51465,-114.225011,2015-06-29,10:20:00.004000,0.23,43263.0,695.0,0.0,0.0,Composite,Reports of swimmers itch on the weekend,Clear,Colourless,19.0,SE,True,,Not apparent,2015,6,29
M151528,Mink Lake,Mink Lake Campground,9601225.0,53.51465,-114.225011,2015-07-27,13:03:59.996000,0.49,75294.0,,,,Composite,,Slight,Brown,20.0,SE,False,0,Not apparent,2015,7,27
M151932,Mink Lake,Mink Lake Campground,9601225.0,53.51465,-114.225011,2015-08-24,,,4093.0,2207.5,0.0,0.0,,,,,,,,,,2015,8,24
M151537,Mink Lake,Mink Lake Campground,9601225.0,53.51465,-114.225011,2015-08-31,10:14:59.997000,0.12,1910.0,200.99999999999997,0.0,0.0,Composite,,,,,,,,,2015,8,31
M151595,North Buck Lake,Boat Launch,,54.660675,-112.523832,2015-06-30,10:45:00.003000,<0.10,6906.0,487.5,0.0,0.0,Composite,,Slight,Brown,23.5,W,False,0,Not apparent,2015,6,30
M151600,North Buck Lake,Boat Launch,,54.660675,-112.523832,2015-07-07,10:30:00,<0.10,8946.0,752.5,0.0,0.0,Composite,,Clear,Other,19.3,NW,False,0,Not apparent,2015,7,7
M151604,North Buck Lake,Boat Launch,,54.660675,-112.523832,2015-07-14,10:20:00.004000,<0.10,1901.0,175.75,0.0,0.0,Composite,,Moderate,Brown,22.6,W,False,0,Not apparent,2015,7,14
M151607,North Buck Lake,Boat Launch,,54.660675,-112.523832,2015-07-21,13:34:59.998000,<0.10,36389.0,322.5,0.0,0.0,Composite,,Slight,Brown,24.2,W,False,0,Particles in water,2015,7,21
M151610,North Buck Lake,Boat Launch,,54.660675,-112.523832,2015-07-28,10:09:59.999000,0.1,95165.0,0.0,0.0,0.0,Composite,,Moderate,Green,21.6,SW,False,0,Particles in water,2015,7,28
M151616,North Buck Lake,Boat Launch,,54.660675,-112.523832,2015-08-04,09:45:00,<0.10,360227.0,55.25,0.0,0.0,Composite,Raining at the time of sampling,Slight,Green,21.0,NE,True,~5,Not apparent,2015,8,4
M151619,North Buck Lake,Boat Launch,,54.660675,-112.523832,2015-08-11,09:49:59.998000,<0.10,146820.0,53.25,0.0,0.0,Composite,Winds calm at the time of sampling,Slight,Green,22.7,SW,False,0,Particles in water,2015,8,11
M151624,North Buck Lake,Boat Launch,,54.660675,-112.523832,2015-08-18,10:50:00.001000,<0.10,446905.0,0.0,0.0,0.0,Composite,,Moderate,Green,19.2,NE,False,0,Particles in water,2015,8,18
M151627,North Buck Lake,Boat Launch,,54.660675,-112.523832,2015-08-25,11:55:00.002000,<0.10,1185307.0,625.0,0.0,0.0,Composite,,Moderate,Green,19.3,W,False,0,Particles in water,2015,8,25
M151721,North Buck Lake,Boat Launch,,54.660675,-112.523832,2015-09-01,13:14:59.997000,0.1,146890.0,662.5,0.0,0.0,Composite,Very strong winds - mud stirred up in water,Total,Brown,19.7,NW,False,0,Particles in water,2015,9,1
M151717,North Buck Lake,Boat Launch,,54.660675,-112.523832,2015-09-08,15:00:00,<0.10,261022.0,0.0,0.0,0.0,Composite,,Clear,Brown,19.1,NW,True,,Not apparent,2015,9,8
M151714,North Buck Lake,Boat Launch,,54.660675,-112.523832,2015-09-14,13:14:59.997000,<0.10,144872.0,0.0,0.0,0.0,Composite,,Slight,Brown,15.4,SE,False,0,Streaks on surface,2015,9,14
M151711,North Buck Lake,Boat Launch,,54.660675,-112.523832,2015-09-29,11:35:00.001000,<0.10,584644.0,0.0,0.0,0.0,Composite,,Slight,Colourless,10.4,NE,True,,Streaks on surface,2015,9,29
M151582,North Buck Lake,North Buck Lake - Day Use,9621641.0,54.660452,-112.51747,2015-06-10,10:00:00.003000,<0.10,0.0,0.0,0.0,0.0,Composite,Presence of phytoplankton along the shore; light green colour,Clear,Green,20.3,W,False,0,Particles in water,2015,6,10
M151585,North Buck Lake,North Buck Lake - Day Use,9621641.0,54.660452,-112.51747,2015-06-17,11:10:00.002000,<0.10,122231.0,0.0,0.0,0.0,Composite,Presence of phytoplankton in the water,Slight,Green,19.7,NE,True,,Particles in water,2015,6,17
M151590,North Buck Lake,North Buck Lake - Day Use,9621641.0,54.660452,-112.51747,2015-06-23,10:30:00,<0.10,27.0,0.0,0.0,0.0,Composite,,Clear,Colourless,22.3,NW,False,0,Not apparent,2015,6,23
M151240,Oasis Lake,Oasis Grove Golf Beach,8822605.0,50.91153,-113.414897,2015-06-10,09:15:00.003000,<0.10,0.0,0.0,0.0,0.0,Composite,,Clear,Colourless,21.0,NE,False,0,Not apparent,2015,6,10
M151221,Oasis Lake,Oasis Grove Golf Beach,8822605.0,50.91153,-113.414897,2015-06-17,12:29:59.997000,<0.10,0.0,0.0,0.0,0.0,Composite,,Clear,Colourless,17.3,NE,True,3,Not apparent,2015,6,17
M151224,Oasis Lake,Oasis Grove Golf Beach,8822605.0,50.91153,-113.414897,2015-06-24,11:30:00.003000,<0.10,1401.0,0.0,0.0,0.0,Composite,,Clear,Colourless,20.9,N,False,0,Not apparent,2015,6,24
M151245,Oasis Lake,Oasis Grove Golf Beach,8822605.0,50.91153,-113.414897,2015-06-29,12:29:59.997000,<0.10,0.0,0.0,0.0,0.0,Composite,,Clear,Colourless,24.3,N,False,0,Not apparent,2015,6,29
M151202,Oasis Lake,Oasis Grove Golf Beach,8822605.0,50.91153,-113.414897,2015-07-08,12:00:00,<0.10,0.0,,,,Composite,,Slight,Colourless,21.6,W,False,0,Not apparent,2015,7,8
M151204,Oasis Lake,Oasis Grove Golf Beach,8822605.0,50.91153,-113.414897,2015-07-15,11:30:00.003000,<0.10,0.0,0.0,0.0,0.0,Composite,,Clear,Colourless,22.3,N,False,0,Not apparent,2015,7,15
M151227,Oasis Lake,Oasis Grove Golf Beach,8822605.0,50.91153,-113.414897,2015-07-22,12:15:00.003000,<0.10,24731.0,150.5,0.0,0.0,Composite,,Clear,Colourless,22.2,S,False,0,Particles in water,2015,7,22
M151231,Oasis Lake,Oasis Grove Golf Beach,8822605.0,50.91153,-113.414897,2015-07-29,12:29:59.997000,0.13,0.0,0.0,0.0,0.0,Composite,,Clear,Colourless,22.8,SE,False,0,Not apparent,2015,7,29
M151210,Oasis Lake,Oasis Grove Golf Beach,8822605.0,50.91153,-113.414897,2015-08-05,13:00:00.003000,0.1,3950.0,0.0,0.0,0.0,Composite,,Clear,Colourless,23.0,NE,True,10,Not apparent,2015,8,5
M151233,Oasis Lake,Oasis Grove Golf Beach,8822605.0,50.91153,-113.414897,2015-08-12,12:29:59.997000,0.51,0.0,94.5,0.0,0.0,Composite,,Clear,Colourless,22.5,NE,False,0,Not apparent,2015,8,12
M151215,Oasis Lake,Oasis Grove Golf Beach,8822605.0,50.91153,-113.414897,2015-08-19,12:29:59.997000,0.37,0.0,380.0,0.0,0.0,Composite,,Clear,Colourless,20.9,NE,False,0,Not apparent,2015,8,19
M151218,Oasis Lake,Oasis Grove Golf Beach,8822605.0,50.91153,-113.414897,2015-08-26,12:29:59.997000,0.41,0.0,535.0,0.0,0.0,Composite,,Clear,Colourless,20.9,N,False,0,Not apparent,2015,8,26
M151022,Park Lake,Park Lake Provincial Park,8803351.0,49.809264,-112.917785,2015-06-01,10:39:59.996000,<0.10,0.0,0.0,0.0,0.0,Composite,Some pollen noted,Clear,Colourless,19.1,SE,False,0,Not apparent,2015,6,1
M151025,Park Lake,Park Lake Provincial Park,8803351.0,49.809264,-112.917785,2015-06-09,10:30:00,<0.10,0.0,0.0,0.0,0.0,Composite,Some pollen noted on surface of water and along shore,Slight,Colourless,22.1,,False,0,Not apparent,2015,6,9
M151027,Park Lake,Park Lake Provincial Park,8803351.0,49.809264,-112.917785,2015-06-15,09:15:00.003000,<0.10,0.0,0.0,0.0,0.0,Composite,Small amount of disperse bird droppings noted,Clear,Colourless,18.4,,True,0.3,Not apparent,2015,6,15
M151031,Park Lake,Park Lake Provincial Park,8803351.0,49.809264,-112.917785,2015-06-29,09:15:00.003000,<0.10,0.0,0.0,0.0,0.0,Composite,"3 or 4 gulls, some toys, and fallen poplar seeds present in and around beach",Clear,Green,24.4,S,False,0,Not apparent,2015,6,29
M151033,Park Lake,Park Lake Provincial Park,8803351.0,49.809264,-112.917785,2015-07-06,09:20:00.001000,<0.10,156.0,0.0,0.0,0.0,Composite,"Water level very high, running onto shore; Seeds & organic debris on lake surface",Slight,Green,20.8,E,True,5.8,Not apparent,2015,7,6
M151035,Park Lake,Park Lake Provincial Park,8803351.0,49.809264,-112.917785,2015-07-13,09:15:00.003000,<0.10,0.0,0.0,0.0,0.0,Composite,,Slight,Brown,22.3,W,True,0.5,Not apparent,2015,7,13
M151037,Park Lake,Park Lake Provincial Park,8803351.0,49.809264,-112.917785,2015-07-20,09:09:59.996000,<0.10,0.0,0.0,0.0,0.0,Composite,,Slight,Green,20.5,S,False,0,Particles in water,2015,7,20
M151039,Park Lake,Park Lake Provincial Park,8803351.0,49.809264,-112.917785,2015-07-27,10:14:59.997000,<0.10,359.0,0.0,0.0,0.0,Composite,,Slight,Brown,19.7,NW,False,0,Not apparent,2015,7,27
M151001,Park Lake,Park Lake Provincial Park,8803351.0,49.809264,-112.917785,2015-08-04,09:29:59.997000,<0.10,2266.0,0.0,0.0,0.0,Composite,,Clear,Colourless,22.5,W,False,0,Not apparent,2015,8,4
M151024,Park Lake,Park Lake Provincial Park,8803351.0,49.809264,-112.917785,2015-08-10,09:09:59.996000,<0.10,31857.0,0.0,0.0,0.0,Composite,,Slight,Green,21.1,S,False,0,Not apparent,2015,8,10
M151003,Park Lake,Park Lake Provincial Park,8803351.0,49.809264,-112.917785,2015-08-17,09:09:59.996000,<0.10,23992.0,122.0,0.0,0.0,Composite,,Slight,Green,20.0,W,True,0.5,Not apparent,2015,8,17
M151005,Park Lake,Park Lake Provincial Park,8803351.0,49.809264,-112.917785,2015-08-24,09:00:00,<0.10,95988.0,150.0,0.0,0.0,Composite,,Slight,Green,17.5,S,False,0,Not apparent,2015,8,24
M151429,Pigeon Lake,Grandview Beach,9622296.0,52.99053,-114.056046,2015-06-09,12:40:00.002000,0.1,152788.0,300.0,0.0,0.0,Composite,"Calmer water, no waves",Moderate,Green,21.0,W,False,0,Particles in water,2015,6,9
M151424,Pigeon Lake,Grandview Beach,9622296.0,52.99053,-114.056046,2015-06-16,12:24:59.999000,0.16,1330685.0,248.0,0.0,0.0,Composite,"Calm water, mirror-like; streaks were 2'-3' wide, not only by shoreline; lots of particles in water",Slight,Green,18.0,No wind,False,0,Streaks on surface,2015,6,16
M151414,Pigeon Lake,Grandview Beach,9622296.0,52.99053,-114.056046,2015-06-23,12:20:00.001000,<0.10,865524.0,347.5,0.0,0.0,Composite,Streaks past end of docks; plants at end of dock; some small patches of green clumps (scum?); lots of particles in water ,Moderate,Green,19.0,N,True,3,Streaks on surface,2015,6,23
M151797,Pigeon Lake,Grandview Beach,9622296.0,52.99053,-114.056046,2015-06-23,12:22:00.002000,0.59,234369.0,,,,Grab,,Moderate,Green,19.0,N,True,3,Streaks on surface,2015,6,23
M151419,Pigeon Lake,Grandview Beach,9622296.0,52.99053,-114.056046,2015-07-02,12:09:59.996000,<0.10,18832.0,655.0,0.0,0.0,Composite,"Boat just came in, lots of particles",Moderate,Green,22.0,W,False,0,Particles in water,2015,7,2
M151364,Pigeon Lake,Grandview Beach,9622296.0,52.99053,-114.056046,2015-07-07,12:20:00.001000,0.38,201848.0,727.5,0.0,0.0,Composite,Brown particles near shore and washed up on shore; particles thick in water column; walker said dead fish on shore last week; 20 geese at beach on arrival,Moderate,Green,15.0,W,False,0,Streaks on surface,2015,7,7
M151798,Pigeon Lake,Grandview Beach,9622296.0,52.99053,-114.056046,2015-07-07,12:20:00.001000,0.65,101164.0,,,,Grab,Brown particles near shore and washed up on shore; particles thick in water column; walker said dead fish on shore last week; 20 geese at beach on arrival,Moderate,Green,15.0,W,False,0,Streaks on surface,2015,7,7
M151369,Pigeon Lake,Grandview Beach,9622296.0,52.99053,-114.056046,2015-07-14,12:09:59.996000,0.43,138429.0,1095.0,0.0,0.0,Composite,Fairly calm wind & water ,Moderate,Green,18.0,N,False,0,Streaks on surface,2015,7,14
M151374,Pigeon Lake,Grandview Beach,9622296.0,52.99053,-114.056046,2015-07-21,12:04:59.998000,0.38,67769.0,18950.0,0.0,0.0,Composite,Ducks (10) and geese in water; offensive odour; round & grass clipping-like particles; Intense filamentous scum,Moderate,Green,21.0,N,True,10,Particles in water,2015,7,21
M151379,Pigeon Lake,Grandview Beach,9622296.0,52.99053,-114.056046,2015-07-28,12:04:59.998000,0.49,443962.0,2675.0,0.0,0.0,Composite,No birds at time of sampling; offensive odour; white debris at top of water; clearer water than usual,Slight,Green,17.0,N,False,0,Particles in water,2015,7,28
M151384,Pigeon Lake,Grandview Beach,9622296.0,52.99053,-114.056046,2015-08-04,12:20:00.001000,1.33,603993.0,2052.5,0.0,0.0,Composite,Light rain before sampling ~10-11 AM,Moderate,Green,18.0,N,True,1,Particles in water,2015,8,4
M151389,Pigeon Lake,Grandview Beach,9622296.0,52.99053,-114.056046,2015-08-11,13:00:00.003000,6.37,1708837.0,30000.0,0.0,0.0,Composite,Severe blue-green coloured scum near shore; chunks of floating scum away from shore; many birds and droppings,Moderate,Green,20.0,No wind,False,0,Scums on surface,2015,8,11
M151394,Pigeon Lake,Grandview Beach,9622296.0,52.99053,-114.056046,2015-08-18,12:04:59.998000,14.86,309704.0,77500.0,0.0,0.0,Composite,Calm; water a blue-green colour; lots of scum on shore; insects on scum; few birds in area; hard to sample due to viscosity of scum,Total,Green,18.0,N,True,3,Scums on surface,2015,8,18
M151399,Pigeon Lake,Grandview Beach,9622296.0,52.99053,-114.056046,2015-08-25,12:49:59.998000,17.84,444039.0,100500.0,0.0,0.0,Composite,Blue-green algae; some in large chunks; offensive odour; no birds; very little water first 2m near docks; 1 dock removed,Total,Green,15.0,N,False,0,Scums on surface,2015,8,25
M151404,Pigeon Lake,Grandview Beach,9622296.0,52.99053,-114.056046,2015-09-01,12:45:00,29.64,287519.0,110250.0,0.0,0.0,Composite,"Thick green, brown and blue scum in large chunks 1-3 m from shore; just particles 5-7 m from shore",Total,Green,17.0,N,False,0,Scums on surface,2015,9,1
M151409,Pigeon Lake,Grandview Beach,9622296.0,52.99053,-114.056046,2015-09-08,12:24:59.999000,59.84,622364.0,320000.0,0.0,0.0,Composite,Scum patchy and extended more to left; offensive odour; some birds,Total,Green,15.0,E,False,0,Scums on surface,2015,9,8
M151427,Pigeon Lake,Ma-Me-O - 6th Street,9621608.0,52.974094,-113.964537,2015-06-09,11:30:00.003000,<0.10,449452.0,0.0,0.0,0.0,Composite,Tracker in water setting up buoys,Slight,Green,19.0,S,False,0,Particles in water,2015,6,9
M151422,Pigeon Lake,Ma-Me-O - 6th Street,9621608.0,52.974094,-113.964537,2015-06-16,11:10:00.002000,<0.10,59842.0,1385.0,0.0,0.0,Composite,Very few particles,Clear,Green,16.0,No wind,False,0,Particles in water,2015,6,16
M151412,Pigeon Lake,Ma-Me-O - 6th Street,9621608.0,52.974094,-113.964537,2015-06-23,10:50:00.001000,<0.10,1638210.0,502.50000000000006,0.0,0.0,Composite,1 dead fish; more rock outcroppings in water; very slightly green colour; very few particles in water,Clear,Green,16.0,No wind,True,3,Particles in water,2015,6,23
M151417,Pigeon Lake,Ma-Me-O - 6th Street,9621608.0,52.974094,-113.964537,2015-07-02,10:25:00.002000,<0.10,443.0,0.0,0.0,0.0,Composite,Water choppier than normal; water seems to be receding (more shore),Slight,Green,18.0,NW,,,Particles in water,2015,7,2
M151362,Pigeon Lake,Ma-Me-O - 6th Street,9621608.0,52.974094,-113.964537,2015-07-07,10:59:59.997000,0.12,143519.0,214.25,0.0,0.0,Composite,Quite windy with lots of waves; patches of foam on shore; lots of debris on shore - aquatic grasses,Moderate,Brown,13.0,NW,False,0,Particles in water,2015,7,7
M151367,Pigeon Lake,Ma-Me-O - 6th Street,9621608.0,52.974094,-113.964537,2015-07-14,10:30:00,<0.10,2601913.0,0.0,0.0,0.0,Composite,Black small plant matter on shore; particles thick in water column; shorebirds along shore; windy with waves,Moderate,Green,12.0,N,False,0,Particles in water,2015,7,14
