Sample_number,Waterbody_name,Beach_name,Beach_access_num,Latitude,Longitude,Collection_date,Collection_time,MC-LR_conc,Total_cyano_cell_count,Microcystis_mcyE,Anabaena_mcyE,Planktothrix_mcyE,Sample_type,Water_description_additional,Turbidity,Color,Water_temp,Wind_direction,Rainfall_24h_bool,Rainfall_24h_mm,EOB,Year,Month,Day
M141399,Chestermere Lake,Camp Chestermere Beach,8805982.0,51.020865,-113.818185,2014-07-23,14:50:00,0.06,0.0,0.0,0.0,0.0,Composite,,,,,,,,not apparent,2014,7,23
M141396,Chestermere Lake,Camp Chestermere Beach,8805982.0,51.020865,-113.818185,2014-07-30,13:30:00,0.09,0.0,83.5,0.0,0.0,Composite,,,,,,,,,2014,7,30
M141390,Chestermere Lake,Camp Chestermere Beach,8805982.0,51.020865,-113.818185,2014-08-06,13:30:00,0.09,1910.0,0.0,0.0,0.0,Composite,,,,,,,,not apparent,2014,8,6
M141345,Chestermere Lake,Camp Chestermere Beach,8805982.0,51.020865,-113.818185,2014-08-13,13:00:00,0.09,0.0,0.0,0.0,0.0,Composite,,,,,,,,not apparent,2014,8,13
M141358,Chestermere Lake,Camp Chestermere Beach,8805982.0,51.020865,-113.818185,2014-08-20,12:30:00,0.07,0.0,0.0,0.0,0.0,Composite,,,,,,,,not apparent,2014,8,20
M141341,Chestermere Lake,Camp Chestermere Beach,8805982.0,51.020865,-113.818185,2014-08-27,12:30:00,0.11,0.0,0.0,0.0,0.0,Composite,,,,,,,,not apparent,2014,8,27
M141349,Clear Lake,Clear Lake Park Beach,8823650.0,50.137976,-113.413852,2014-06-04,10:30:00,0.398,0.0,141.0,0.0,0.0,Composite,,,,,,,,not apparent,2014,6,4
M141338,Clear Lake,Clear Lake Park Beach,8823650.0,50.137976,-113.413852,2014-06-11,08:45:00,0.196,0.0,0.0,0.0,0.0,Composite,,,,,,,,not apparent,2014,6,11
M141232,Clear Lake,Clear Lake Park Beach,8823650.0,50.137976,-113.413852,2014-06-25,08:30:00,0.18,0.0,243.5,0.0,0.0,Composite,High water level overtaken normal shore line - murky,,,,,,,,2014,6,25
M141220,Clear Lake,Clear Lake Park Beach,8823650.0,50.137976,-113.413852,2014-07-02,11:45:00,0.24,2801.0,175.5,0.0,0.0,Composite,Water level still very high - overtaking shore,,,,,,,not apparent,2014,7,2
M141223,Clear Lake,Clear Lake Park Beach,8823650.0,50.137976,-113.413852,2014-07-09,12:15:00,1.35,36506.0,1739.9999999999998,0.0,0.0,Composite,Suspected blue-green algae,,,,,,,streaks on the surface,2014,7,9
M141226,Clear Lake,Clear Lake Park Beach,8823650.0,50.137976,-113.413852,2014-07-16,12:15:00,15.84,381461.0,3075000.0,0.0,0.0,Composite,,,,,,,,scums on surface,2014,7,16
M141218,Clear Lake,Clear Lake Park Beach,8823650.0,50.137976,-113.413852,2014-07-23,11:45:00,5.25,117844.0,5750.0,0.0,0.0,Composite,,,,,,,,scums on surface,2014,7,23
M141239,Clear Lake,Clear Lake Park Beach,8823650.0,50.137976,-113.413852,2014-07-30,11:55:00,1.51,122639.0,2002.4999999999998,0.0,0.0,Composite,,,,,,,,scums on surface,2014,7,30
M141235,Clear Lake,Clear Lake Park Beach,8823650.0,50.137976,-113.413852,2014-08-06,13:00:00,8.36,41915.0,352500.0,0.0,0.0,Composite,,,,,,,,scums on surface,2014,8,6
