Sample number,Waterbody name,Beach name,Beach access number,Latitude,Longitude,Collection date,Collection time,Microcystin LR-equivalent concentration (µg/L),Total cyanobacterial cell count (cells/mL),Microcystis mcyE (copies/mL),Anabaena mcyE (copies/mL),Planktothrix mcyE (copies/mL),Sample Type,Description of water,Description of Water - Additional Notes,Turbidity,Colour,Evidence of bloom,Water temperature (°C),Wind direction,24 hr rainfall,24 hr rainfall amount (mm),
M171529,Fawcett Lake,Fawcett Lake Provincial Recreation Area,9410367,55.308911,-114.061519,9-Aug-17,12:00 PM,19.83,No data,No data,No data,No data,Grab,No data,No data,Total,Green,Scums on surface,21,NW,FALSE,0,
M171237,Fyten Reservoir,Swalwell Dam Campground - Beach,8825315,51.548953,-113.333615,18-Aug-17,1:05 PM,43.87,No data,No data,No data,No data,Grab,No data,"Particles in the water; different streaks on surface; variety of colours observed (green, brown, blue, greyish-white)",Moderate,Green,Scums on surface,21.0,N,FALSE,0,
M171382,Goose Lake,Goose Lake Recreation Area,9010036,54.314279,-115.138469,25-Jul-17,12:00 PM,91.02,"2,031,865",No data,No data,No data,Grab,No data,No data,Clear,Green,Streaks on surface,20,No wind,TRUE,~10,
M171134,Gull Lake,Aspen Beach Provincial Park Beach,No data,52.466119,-113.978361,30-May-17,11:26 AM,0.23,"1,647",No data,No data,No data,Composite,No data,Lots of birds (seagulls & ducks); water had a greenish tint to it ~100 m in the water; 2016 algae debris was being removed from beach for maintenance,Clear,Colourless,No evidence,16,SW,FALSE,0,
M171137,Gull Lake,Aspen Beach Provincial Park Beach,No data,52.466119,-113.978361,6-Jun-17,10:55 AM,0.21,0,No data,No data,No data,Composite,No data,Beach shoreline has been completely cleaned (2016 algae residue removed - maintenance); lots of birds in the area (beach & water),Slight,Brown,No evidence,14,NE,TRUE,0.7,
M171141,Gull Lake,Aspen Beach Provincial Park Beach,No data,52.466119,-113.978361,13-Jun-17,10:50 AM,0.21,"54,340",No data,No data,No data,Composite,No data,Birds in the area; windy condition & wave action - water turbid; unable to see bottom at shoreline; minimal material (green along shoreline); foam in beach sand  & along shoreline,Moderate,Brown,No evidence,17,NE,FALSE,0,
M171145,Gull Lake,Aspen Beach Provincial Park Beach,No data,52.466119,-113.978361,27-Jun-17,11:10 AM,0.24,0,No data,No data,No data,Composite,No data,Water has greenish tint; lots of birds in the area; windy conditions; sediment disturbed; cannot see bottom; only a little bit of green material in patches along shoreline; beach well maintained,Slight,Green,No evidence,14,SW,FALSE,0,
M171149,Gull Lake,Aspen Beach Provincial Park Beach,No data,52.466119,-113.978361,4-Jul-17,10:30 AM,0.24,"22,659",No data,No data,No data,Composite,No data,Beach area always well maintained; minimal green material along shoreline; lots of birds (seagulls) in water & in beach area; bottom of shoreline visible but becomes turbid with depth gain then unable to see bottom,Slight,Green,No evidence,14,NE,TRUE,No data,
M171153,Gull Lake,Aspen Beach Provincial Park Beach,No data,52.466119,-113.978361,11-Jul-17,10:30 AM,0.25,"312,639",No data,No data,No data,Composite,No data,Windy conditions; wave action; Lots of birds in area; grass clipping accumulation & foam along shoreline; bottom slightly visible at shoreline as sediment is disturbed too,Slight,Brown,No evidence,14,E,TRUE,1.2,
M171157,Gull Lake,Aspen Beach Provincial Park Beach,No data,52.466119,-113.978361,18-Jul-17,10:58 AM,0.17,"293,959",No data,No data,No data,Composite,No data,Some grass clippings at shoreline; lots of gulls present at area; water was brownish with a tint of green with depth gain,Clear,Brown,No evidence,15,SW,FALSE,0,
M171206,Gull Lake,Aspen Beach Provincial Park Beach,No data,52.466119,-113.978361,25-Jul-17,11:13 AM,0.25,"81,161",No data,No data,No data,Composite,No data,Lots of birds (gulls) in the area; calm conditions (minimal wind); a bit of foam & grass clippings type material along shoreline; water becomes turbid 30 feet in but bottom still visible,Clear,Colourless,No evidence,18,NE,FALSE,0,
M171208,Gull Lake,Aspen Beach Provincial Park Beach,No data,52.466119,-113.978361,1-Aug-17,11:34 AM,0.28,"88,488",No data,No data,No data,Composite,No data,Lots of gulls in area (beach and water); a few grass clippings (patches); seems like beach received maintenance recently,Clear,Colourless,No evidence,18,No wind,TRUE,1,
M171159,Gull Lake,Aspen Beach Provincial Park Beach,No data,52.466119,-113.978361,8-Aug-17,10:18 AM,0.21,"29,255",No data,No data,No data,Composite,No data,Lots of gulls in area; beach is well maintained; few grass clippings here and there along shoreline,Slight,Colourless,No evidence,17,N,FALSE,0,
M171161,Gull Lake,Aspen Beach Provincial Park Beach,No data,52.466119,-113.978361,15-Aug-17,10:05 AM,0.25,"7,205",No data,No data,No data,Composite,No data,Grass clippings; birds (gulls) in area; foam at shoreline; water becomes a bit cloudy with depth gain due to wind & wave action; sediment can be seen being disturbed,Clear,Colourless,No evidence,16,NW,TRUE,0.8,
M171163,Gull Lake,Aspen Beach Provincial Park Beach,No data,52.466119,-113.978361,22-Aug-17,10:20 AM,0.16,"14,586",No data,No data,No data,Composite,No data,Water is clear but there are a lot of feathers and bird debris; lots of gulls in the area; grass clippings along shoreline; bottom visible but a bit murky with depth gain,Clear,Colourless,No evidence,17,No wind,FALSE,0,
M171166,Gull Lake,Aspen Beach Provincial Park Beach,No data,52.466119,-113.978361,29-Aug-17,10:00 AM,0.24,370,No data,No data,No data,Composite,No data,Grass clippings along shoreline & in sand protrusions above water level; lots of gulls in the area; beach is well maintained,Clear,Colourless,No evidence,18,NE,FALSE,0,
M171266,Half Moon Lake,Half Moon Lake Resort,9601312,53.456039,-113.083959,6-Jul-17,2:15 PM,1.55,"777,041",No data,No data,No data,Composite,No data,No data,Moderate,Green,Particles in water,No data,No wind,No data,No data,
M171282,Half Moon Lake,Half Moon Lake Resort,9601312,53.456039,-113.083959,19-Jul-17,10:25 AM,5.04,"154,064",No data,No data,No data,Composite,No data,No data,Slight,Green,Particles in water,No data,No wind,FALSE,0,
M171305,Hasse Lake,Hasse Lake Day Use Area,9601224,53.490020,-114.177402,29-May-17,1:10 PM,0.11,"66,727",No data,No data,No data,Composite,No data,No data,Moderate,Brown,No evidence,20,SE,FALSE,0,
M171299,Hasse Lake,Hasse Lake Day Use Area,9601224,53.490020,-114.177402,26-Jun-17,No data,No data,"5,420",No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,
M171297,Hasse Lake,Hasse Lake Day Use Area,9601224,53.490020,-114.177402,10-Jul-17,9:15 AM,0.12,"5,173",No data,No data,No data,Composite,No data,No data,Clear,Brown,No evidence,17,SW,FALSE,0,
M171270,Hasse Lake,Hasse Lake Day Use Area,9601224,53.490020,-114.177402,17-Jul-17,10:20 AM,<0.10,"9,430",No data,No data,No data,Composite,No data,No data,Clear,Brown,No evidence,17,SW,FALSE,0,
M171271,Hasse Lake,Hasse Lake Day Use Area,9601224,53.490020,-114.177402,8-Aug-17,9:30 AM,0.21,"100,613",No data,No data,No data,Composite,No data,No data,Clear,Brown,No evidence,17,SW,FALSE,0,
M171524,Hasse Lake,Hasse Lake Day Use Area,9601224,53.490020,-114.177402,28-Aug-17,2:00 PM,0.32,200,No data,No data,No data,Composite,No data,No data,Clear,Brown,No evidence,17,SW,FALSE,0,
M171265,Hastings Lake,Hastings Lake Bible Camp Beach,9010190,53.411029,-112.908935,6-Jul-17,2:30 PM,13.55,"89,321",No data,No data,No data,Composite,No data,No data,Slight,Green,Particles in water,No data,No wind,FALSE,0,
M171283,Hastings Lake,Hastings Lake Bible Camp Beach,9010190,53.411029,-112.908935,19-Jul-17,10:15 AM,2.68,"193,340",No data,No data,No data,Composite,No data,No data,Total,Green,Streaks on surface,No data,No wind,FALSE,0,
M171394,Hutch Lake,Hutch Lake Campground and Day Use,9010033,58.765640,-117.369400,4-Aug-17,1:30 PM,471.78,No data,No data,No data,No data,Grab,No data,Heavy rain yesterday evening,Slight,Green,Scums on surface,15,No wind,TRUE,0.2,
M171553,Hutch Lake,Hutch Lake Campground and Day Use,9010033,58.765640,-117.369400,4-Aug-17,No data,No data,"2,875",No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,
M171554,Hutch Lake,Hutch Lake Campground and Day Use,9010033,58.765640,-117.369400,4-Aug-17,No data,No data,"1,268",No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,
M171555,Hutch Lake,Hutch Lake Campground and Day Use,9010033,58.765640,-117.369400,4-Aug-17,No data,No data,"11,133",No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,
M171302,Isle Lake,Gainford Beach,9602751,53.590493,-114.790092,29-May-17,8:35 AM,0.11,0,No data,No data,No data,Composite,No data,No data,Clear,Brown,Particles in water,16,SE,FALSE,0,
M171556,Isle Lake,Gainford Beach,9602751,53.590493,-114.790092,19-Jun-17,No data,No data,"290,274",No data,No data,No data,Grab,No data,No data,No data,No data,No data,No data,No data,No data,No data,
M171557,Isle Lake,Gainford Beach,9602751,53.590493,-114.790092,19-Jun-17,No data,No data,"352,450",No data,No data,No data,Grab,No data,No data,No data,No data,No data,No data,No data,No data,No data,
M171558,Isle Lake,Gainford Beach,9602751,53.590493,-114.790092,19-Jun-17,No data,No data,"195,220",No data,No data,No data,Grab,No data,No data,No data,No data,No data,No data,No data,No data,No data,
M171290,Isle Lake,Gainford Beach,9602751,53.590493,-114.790092,26-Jun-17,No data,No data,"4,004",No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,
M171526,Isle Lake,Gainford Beach,9602751,53.590493,-114.790092,28-Aug-17,9:30 AM,"16,193.20","1,346,280",No data,No data,No data,Composite,No data,No data,Total,Green,Scums on surface,16,SW,No data,No data,
M171301,Isle Lake,Kokomoko Day Use Area,9602376,53.598707,-114.760845,29-May-17,7:37 AM,0.17,0,No data,No data,No data,Composite,No data,No data,Clear,Brown,No evidence,13,SE,FALSE,0,
M171288,Isle Lake,Kokomoko Day Use Area,9602376,53.598707,-114.760845,20-Jun-17,No data,No data,0,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,
M171504,Isle Lake,Kokomoko Day Use Area,9602376,53.598707,-114.760845,28-Aug-17,8:40 AM,"2,909.90","3,010,800",No data,No data,No data,Composite,No data,No data,Moderate,Green,Scums on surface,16,SW,FALSE,0,
M171287,Jackfish Lake (Parkland County),Public Beach Area,9610366,53.484905,-114.229306,29-May-17,11:42 AM,0.10,0,No data,No data,No data,Composite,No data,No data,Clear,Colourless,No evidence,17,SE,FALSE,0,
M171293,Jackfish Lake (Parkland County),Public Beach Area,9610366,53.484905,-114.229306,26-Jun-17,No data,No data,"317,876",No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,
M171298,Jackfish Lake (Parkland County),Public Beach Area,9610366,53.484905,-114.229306,4-Jul-17,7:49 AM,1.93,"188,301",No data,No data,No data,Composite,No data,No data,Slight,Brown,Streaks on surface,17,SW,FALSE,0,
M171306,Jackfish Lake (Parkland County),Public Beach Area,9610366,53.484905,-114.229306,10-Jul-17,7:45 AM,0.23,"41,515",No data,No data,No data,Composite,No data,No data,Clear,Brown,No evidence,16,SW,FALSE,0,
M171278,Jackfish Lake (Parkland County),Public Beach Area,9610366,53.484905,-114.229306,17-Jul-17,7:30 AM,0.13,"92,184",No data,No data,No data,Composite,No data,No data,Clear,Brown,No evidence,16,SW,FALSE,0,
M171274,Jackfish Lake (Parkland County),Public Beach Area,9610366,53.484905,-114.229306,24-Jul-17,No data,No data,"140,797",No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,
M171273,Jackfish Lake (Parkland County),Public Beach Area,9610366,53.484905,-114.229306,8-Aug-17,9:00 AM,0.58,"80,163",No data,No data,No data,Composite,No data,No data,Slight,Brown,Particles in water,18,SW,FALSE,0,
M171295,Jackfish Lake (Parkland County),Public Beach Area,9610366,53.484905,-114.229306,28-Aug-17,1:30 PM,0.38,"18,481",No data,No data,No data,Composite,No data,No data,Slight,Green,No evidence,17,SW,FALSE,0,
M171548,Lac Bellevue,Legion Camp,No data,53.809178,-111.321539,5-Sep-17,4:30 PM,4.28,No data,No data,No data,No data,Grab,No data,No data,Moderate,Green,Scums on surface,No data,SE,FALSE,0,
M171386,Lac La Nonne,Camp Encounter,9380005,53.921145,-114.281768,17-Jul-17,12:30 PM,150.47,"246,992",No data,No data,No data,Grab,No data,Slight odour noted,Moderate,Green,Particles in water,~15,SW,TRUE,8 to 10,
M171061,Lake McGregor,Lake McGregor Country Estates Beach,8823909,50.342019,-112.837231,29-May-17,10:04 AM,0.15,0,No data,No data,No data,Composite,No data,No data,Slight,Colourless,No evidence,16,SE,FALSE,0,
M171062,Lake McGregor,Lake McGregor Country Estates Beach,8823909,50.342019,-112.837231,5-Jun-17,11:18 AM,0.12,0,No data,No data,No data,Composite,No data,No data,Slight,Colourless,No evidence,16.0,S,TRUE,10,
M171063,Lake McGregor,Lake McGregor Country Estates Beach,8823909,50.342019,-112.837231,12-Jun-17,8:12 AM,<0.10,0,No data,No data,No data,Composite,No data,No data,Clear,Colourless,No evidence,16.5,W,FALSE,0,
M171064,Lake McGregor,Lake McGregor Country Estates Beach,8823909,50.342019,-112.837231,22-Jun-17,10:00 AM,0.12,0,No data,No data,No data,Composite,No data,No data,Moderate,Brown,No evidence,17.0,N,TRUE,20,
M171065,Lake McGregor,Lake McGregor Country Estates Beach,8823909,50.342019,-112.837231,26-Jun-17,9:21 AM,<0.10,"142,990",No data,No data,No data,Composite,No data,No data,Clear,Colourless,No evidence,18.0,S,FALSE,0,
M171066,Lake McGregor,Lake McGregor Country Estates Beach,8823909,50.342019,-112.837231,4-Jul-17,10:19 AM,0.11,"381,442",No data,No data,No data,Composite,No data,No data,Clear,Colourless,No evidence,20.2,N,FALSE,0,
M171067,Lake McGregor,Lake McGregor Country Estates Beach,8823909,50.342019,-112.837231,10-Jul-17,8:27 AM,0.11,"383,036",No data,No data,No data,Composite,No data,No data,Clear,Colourless,No evidence,21.8,N,FALSE,0,
M171068,Lake McGregor,Lake McGregor Country Estates Beach,8823909,50.342019,-112.837231,17-Jul-17,9:05 AM,0.12,"25,868",No data,No data,No data,Composite,No data,No data,Clear,Colourless,No evidence,20.2,N,FALSE,0,
M171069,Lake McGregor,Lake McGregor Country Estates Beach,8823909,50.342019,-112.837231,24-Jul-17,9:31 AM,0.10,"89,744",No data,No data,No data,Composite,No data,No data,Moderate,Green,Particles in water,20.2,N,FALSE,0,
M171070,Lake McGregor,Lake McGregor Country Estates Beach,8823909,50.342019,-112.837231,31-Jul-17,9:12 AM,0.24,"56,317",No data,No data,No data,Composite,No data,No data,Clear,Colourless,No evidence,21.3,NE,FALSE,0,
M171071,Lake McGregor,Lake McGregor Country Estates Beach,8823909,50.342019,-112.837231,8-Aug-17,8:37 AM,0.11,253,No data,No data,No data,Composite,No data,No data,Clear,Colourless,No evidence,20.2,N,FALSE,0,
M171072,Lake McGregor,Lake McGregor Country Estates Beach,8823909,50.342019,-112.837231,14-Aug-17,10:34 AM,0.19,0,No data,No data,No data,Composite,No data,No data,Moderate,Colourless,No evidence,19.7,N,FALSE,0,
M171073,Lake McGregor,Lake McGregor Country Estates Beach,8823909,50.342019,-112.837231,21-Aug-17,10:56 AM,0.20,0,No data,No data,No data,Composite,No data,No data,Clear,Colourless,No evidence,19.2,E,FALSE,0,
M171074,Lake McGregor,Lake McGregor Country Estates Beach,8823909,50.342019,-112.837231,28-Aug-17,11:06 AM,0.15,"8,559",No data,No data,No data,Composite,No data,No data,Slight,Brown,No evidence,19.8,N,FALSE,0,
M171031,Lake Newell,Lake Newell Resort Beach,8810917,50.491859,-111.933588,6-Jun-17,3:30 PM,0.11,0,No data,No data,No data,Composite,No data,No data,Moderate,Brown,No evidence,No data,E,FALSE,0,
M171036,Lake Newell,Lake Newell Resort Beach,8810917,50.491859,-111.933588,13-Jun-17,1:00 PM,<0.10,0,No data,No data,No data,Composite,No data,No data,Slight,Brown,No evidence,15,E,TRUE,2,
M171038,Lake Newell,Lake Newell Resort Beach,8810917,50.491859,-111.933588,20-Jun-17,12:00 PM,<0.10,27,No data,No data,No data,Composite,No data,No data,Slight,Brown,No evidence,24,SE,FALSE,0,
M171042,Lake Newell,Lake Newell Resort Beach,8810917,50.491859,-111.933588,27-Jun-17,1:00 PM,0.11,"593,008",No data,No data,No data,Composite,No data,No data,Clear,Colourless,No evidence,22,NE,FALSE,0,
M171043,Lake Newell,Lake Newell Resort Beach,8810917,50.491859,-111.933588,4-Jul-17,10:20 AM,0.11,0,No data,No data,No data,Composite,No data,No data,Slight,Brown,No evidence,22,E,FALSE,0,
M171046,Lake Newell,Lake Newell Resort Beach,8810917,50.491859,-111.933588,11-Jul-17,10:00 AM,0.11,0,No data,No data,No data,Composite,No data,No data,Slight,Colourless,No evidence,19,NE,TRUE,10,
M171049,Lake Newell,Lake Newell Resort Beach,8810917,50.491859,-111.933588,19-Jul-17,10:00 AM,<0.10,0,No data,No data,No data,Composite,No data,A lot of seagulls on the beach,Moderate,Brown,No evidence,25,E,FALSE,0,
M171059,Lake Newell,Lake Newell Resort Beach,8810917,50.491859,-111.933588,25-Jul-17,10:00 AM,<0.10,0,No data,No data,No data,Composite,No data,No data,Slight,Brown,No evidence,22,No wind,FALSE,0,
M171052,Lake Newell,Lake Newell Resort Beach,8810917,50.491859,-111.933588,1-Aug-17,10:30 AM,0.10,"1,546",No data,No data,No data,Composite,No data,No data,Clear,Colourless,No evidence,21,NE,FALSE,0,
M171057,Lake Newell,Lake Newell Resort Beach,8810917,50.491859,-111.933588,8-Aug-17,10:30 AM,<0.10,0,No data,No data,No data,Composite,No data,No data,Slight,Brown,No evidence,20,E,FALSE,0,
M171540,Lake Newell,Lake Newell Resort Beach,8810917,50.491859,-111.933588,15-Aug-17,1:00 PM,0.18,593,No data,No data,No data,Composite,No data,No data,Slight,Brown,No evidence,22,NE,FALSE,0,
M171537,Lake Newell,Lake Newell Resort Beach,8810917,50.491859,-111.933588,22-Aug-17,12:00 PM,0.10,"5,044",No data,No data,No data,Composite,No data,No data,Slight,Brown,No evidence,23,NE,FALSE,0,
M171534,Lake Newell,Lake Newell Resort Beach,8810917,50.491859,-111.933588,29-Aug-17,1:30 PM,<0.10,128,No data,No data,No data,Composite,No data,No data,Slight,Brown,No evidence,22,NE,FALSE,0,
M171411,Lake Sundance,Lake Sundance Beach,8800407,50.902127,-114.044218,5-Jun-17,1:50 PM,<0.10,0,No data,No data,No data,Composite,No data,No data,Slight,Green,No evidence,18,NW,FALSE,0,
M171127,Lake Sundance,Lake Sundance Beach,8800407,50.902127,-114.044218,12-Jun-17,1:50 PM,<0.10,"9,256",No data,No data,No data,Composite,No data,No data,Moderate,Colourless,No evidence,18.9,N,FALSE,0,
M171128,Lake Sundance,Lake Sundance Beach,8800407,50.902127,-114.044218,22-Jun-17,1:45 PM,<0.10,"41,080",No data,No data,No data,Composite,No data,No data,Slight,Green,No evidence,18.5,S,TRUE,0.3,
M171129,Lake Sundance,Lake Sundance Beach,8800407,50.902127,-114.044218,26-Jun-17,2:20 PM,<0.10,"158,496",No data,No data,No data,Composite,No data,No data,Slight,Green,No evidence,20,N,FALSE,0,
M171130,Lake Sundance,Lake Sundance Beach,8800407,50.902127,-114.044218,4-Jul-17,2:05 PM,<0.10,"180,832",No data,No data,No data,Composite,No data,No data,Total,Green,No evidence,21.3,N,FALSE,0,
M171093,Lake Sundance,Lake Sundance Beach,8800407,50.902127,-114.044218,10-Jul-17,1:40 PM,<0.10,"14,992",No data,No data,No data,Composite,No data,No data,Moderate,Green,Particles in water,22.5,SW,TRUE,2,
M171442,Lake Sundance,Lake Sundance Beach,8800407,50.902127,-114.044218,17-Jul-17,1:55 PM,<0.10,0,No data,No data,No data,Composite,No data,No data,Moderate,Green,No evidence,21.7,NW,FALSE,0,
M171443,Lake Sundance,Lake Sundance Beach,8800407,50.902127,-114.044218,24-Jul-17,1:10 PM,<0.10,0,No data,No data,No data,Composite,No data,No data,Moderate,Green,Particles in water,21.6,NW,TRUE,0.4,
M171095,Lake Sundance,Lake Sundance Beach,8800407,50.902127,-114.044218,31-Jul-17,1:55 PM,0.11,443,No data,No data,No data,Composite,No data,No data,Clear,Green,No evidence,23.6,E,FALSE,0,
M171444,Lake Sundance,Lake Sundance Beach,8800407,50.902127,-114.044218,8-Aug-17,1:45 PM,0.10,253,No data,No data,No data,Composite,No data,No data,Slight,Green,No evidence,21.8,N,TRUE,0.1,
M171445,Lake Sundance,Lake Sundance Beach,8800407,50.902127,-114.044218,14-Aug-17,1:40 PM,<0.10,0,No data,No data,No data,Composite,No data,No data,Clear,Green,No evidence,21.1,NW,TRUE,0.6,
M171446,Lake Sundance,Lake Sundance Beach,8800407,50.902127,-114.044218,21-Aug-17,2:10 PM,<0.10,0,No data,No data,No data,Composite,No data,No data,Clear,Brown,No evidence,20.7,N,FALSE,0,
M171448,Lake Sundance,Lake Sundance Beach,8800407,50.902127,-114.044218,28-Aug-17,2:50 PM,0.12,0,No data,No data,No data,Composite,No data,No data,Slight,Green,No evidence,21.1,N,FALSE,0,
M171385,Lessard Lake,Lessard Lake Campground,9410373,53.777495,-114.655620,13-Jul-17,3:00 PM,"1,219.10","2,070,600",No data,No data,No data,Grab,No data,No data,Slight,Green,Scums on surface,29 - 30,N,FALSE,0,
M171550,Lower Thérien Lake,Crestview Beach,9010218,53.924780,-111.372924,8-Sep-17,8:30 AM,437.27,No data,No data,No data,No data,Grab,No data,No data,Total,Green,Scums on surface,No data,No wind,FALSE,0,
M171323,McLeod (Carson) Lake,Carson Pegasus Provincial Park - Day Use Area,9621131,54.293166,-115.654335,30-May-17,2:05 PM,<0.10,0,No data,No data,No data,Composite,No data,"Sunny, clear, no waves, no/little wind, observed a duck",Clear,Colourless,No evidence,17.1,E,FALSE,0,
M171326,McLeod (Carson) Lake,Carson Pegasus Provincial Park - Day Use Area,9621131,54.293166,-115.654335,13-Jun-17,12:44 PM,<0.10,0,No data,No data,No data,Composite,No data,"Small waves, slightly windy",Clear,Colourless,No evidence,18.4,N,FALSE,0,
M171328,McLeod (Carson) Lake,Carson Pegasus Provincial Park - Day Use Area,9621131,54.293166,-115.654335,26-Jun-17,1:03 PM,<0.10,0,No data,No data,No data,Composite,No data,"Small waves, slight wind",Clear,Colourless,No evidence,18.8,NW,FALSE,0,
M171332,McLeod (Carson) Lake,Carson Pegasus Provincial Park - Day Use Area,9621131,54.293166,-115.654335,10-Jul-17,1:30 PM,<0.10,"21,196",No data,No data,No data,Composite,No data,"Observed some ducks, people swimming, slight wind, small waves",Clear,Colourless,No evidence,21.3,S,FALSE,0,
M171334,McLeod (Carson) Lake,Carson Pegasus Provincial Park - Day Use Area,9621131,54.293166,-115.654335,25-Jul-17,12:05 PM,0.13,"19,723",No data,No data,No data,Composite,No data,"Slightly windy, shallow waves, people swimming, slightly sunny",Clear,Colourless,No evidence,20.1,W,TRUE,44.2,
M171338,McLeod (Carson) Lake,Carson Pegasus Provincial Park - Day Use Area,9621131,54.293166,-115.654335,8-Aug-17,1:02 PM,0.19,"39,151",No data,No data,No data,Composite,No data,"Observed swimmers, sunny, small waves, slight wind",Clear,Colourless,No evidence,18.6,E,FALSE,0,
M171341,McLeod (Carson) Lake,Carson Pegasus Provincial Park - Day Use Area,9621131,54.293166,-115.654335,21-Aug-17,12:11 PM,0.14,"27,665",No data,No data,No data,Composite,No data,"Slight wind, slight waves, observed ducks swimming, slight sun",Clear,Colourless,No evidence,17.3,W,FALSE,0,
M171304,Mink Lake,Mink Lake Campground,9601225,53.514650,-114.225011,29-May-17,12:18 PM,0.14,0,No data,No data,No data,Composite,No data,No data,Clear,Brown,No evidence,17.0,SE,FALSE,0,
M171289,Mink Lake,Mink Lake Campground,9601225,53.514650,-114.225011,26-Jun-17,No data,No data,0,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,
M171268,Mink Lake,Mink Lake Campground,9601225,53.514650,-114.225011,10-Jul-17,8:20 AM,0.11,38,No data,No data,No data,Composite,No data,No data,Slight,Brown,No evidence,17,SW,FALSE,0,
M171279,Mink Lake,Mink Lake Campground,9601225,53.514650,-114.225011,17-Jul-17,9:15 AM,0.10,"224,543",No data,No data,No data,Composite,No data,No data,Clear,Brown,No evidence,17,SW,FALSE,0,
M171275,Mink Lake,Mink Lake Campground,9601225,53.514650,-114.225011,8-Aug-17,8:30 AM,0.11,"122,474",No data,No data,No data,Composite,No data,No data,Clear,Brown,No evidence,17,SW,FALSE,0,
M171276,Mink Lake,Mink Lake Campground,9601225,53.514650,-114.225011,28-Aug-17,12:30 PM,1.20,"1,755",No data,No data,No data,Composite,No data,No data,Clear,Brown,No evidence,17,SW,FALSE,0,
M171361,Moose Lake,Kiev's K Hi Ukrainian Youth Camp,9010257,54.248596,-110.982379,5-Jul-17,11:45 AM,0.11,"146,361",No data,No data,No data,Grab,No data,No data,Clear,Colourless,No evidence,~19,N,FALSE,0,
M171321,Paddle River Reservoir,Paddle River Reservoir Provincial Recreation Area,9010979,53.894981,-115.073257,30-May-17,10:00 AM,0.17,0,No data,No data,No data,Composite,No data,"Sunny, clear, no/little wind, no waves",Clear,Brown,No evidence,16.1,SE,FALSE,0,
M171324,Paddle River Reservoir,Paddle River Reservoir Provincial Recreation Area,9010979,53.894981,-115.073257,13-Jun-17,9:30 AM,<0.10,0,No data,No data,No data,Composite,No data,A little sediment was observed,Clear,Brown,No evidence,18.5,W,FALSE,0,
M171327,Paddle River Reservoir,Paddle River Reservoir Provincial Recreation Area,9010979,53.894981,-115.073257,26-Jun-17,9:29 AM,0.14,0,No data,No data,No data,Composite,No data,"Slight waves, slightly windy",Slight,Brown,No evidence,19.8,NE,FALSE,0,
M171330,Paddle River Reservoir,Paddle River Reservoir Provincial Recreation Area,9010979,53.894981,-115.073257,10-Jul-17,9:35 AM,0.27,782,No data,No data,No data,Composite,No data,"Observed many birds flying & swimming on lake, slight wind, small waves",Moderate,Brown,No evidence,21.8,NE,FALSE,0,
M171333,Paddle River Reservoir,Paddle River Reservoir Provincial Recreation Area,9010979,53.894981,-115.073257,25-Jul-17,9:07 AM,3.18,"226,504",No data,No data,No data,Composite,No data,"Sunny, slight waves, green scum on shoreline & green scum/particles in water",Clear,Colourless,Particles in water,20.1,W,TRUE,44.2,
M171336,Paddle River Reservoir,Paddle River Reservoir Provincial Recreation Area,9010979,53.894981,-115.073257,8-Aug-17,9:30 AM,25.08,"86,623",No data,No data,No data,Composite,No data,"No sun, slightly windy, small waves",Slight,Green,Particles in water,18.2,N,FALSE,0,
M171339,Paddle River Reservoir,Paddle River Reservoir Provincial Recreation Area,9010979,53.894981,-115.073257,21-Aug-17,9:06 AM,2.24,"14,189",No data,No data,No data,Composite,No data,"Slightly sunny, slight wind, small waves",Slight,Green,Particles in water,18,NW,FALSE,0,
M171232,Pigeon Lake,Grandview Beach,9622296,52.990530,-114.056046,23-May-17,3:20 PM,0.11,No data,No data,No data,No data,Composite,No data,Evidence of 2016 biomass of blue-green algae; colour was brownish green combination,Slight,Brown,No evidence,15,S,FALSE,0,
M171234,Pigeon Lake,Grandview Beach,9622296,52.990530,-114.056046,30-May-17,1:45 PM,0.19,0,No data,No data,No data,Composite,No data,Turbid due to wind & wave action; foul smell from decaying vegetation at shoreline,Total,Brown,No evidence,16,SE,FALSE,0,
M171197,Pigeon Lake,Grandview Beach,9622296,52.990530,-114.056046,6-Jun-17,2:30 PM,0.12,0,No data,No data,No data,Composite,No data,Turbidity because it was windy and wave action,Total,Brown,No evidence,17,SW,TRUE,2.1,
M171196,Pigeon Lake,Grandview Beach,9622296,52.990530,-114.056046,13-Jun-17,9:40 AM,0.10,0,No data,No data,No data,Composite,No data,Turbidity due to action of wind and waves,Total,Brown,No evidence,15,SE,TRUE,<1,
